,user_id,lgb
0,1,"[8293439, 9655212, 9527558, 5577022, 1049998]"
2,6,"[895268, 897088, 12757544, 13115971, 1041259]"
3,7,"[9338009, 840386, 9527174, 993838, 983316]"
4,8,"[8181377, 8159536, 1021715, 930385, 983795]"
5,9,"[12171886, 12172071, 8019977, 868015, 907647]"
6,13,"[886317, 1038985, 9488065, 9859111, 1075007]"
7,14,"[1129609, 878445, 6979753, 861419, 7167084]"
8,15,"[895268, 1082310, 9881593, 9881592, 1127548]"
9,16,"[12263788, 844165, 951590, 962229, 995242]"
10,17,"[842416, 833351, 896085, 1076516, 1118046]"
11,18,"[938118, 961620, 1029313, 1053628, 914577]"
12,19,"[1090286, 1000236, 1012052, 992933, 8181010]"
13,20,"[1075368, 995628, 944836, 901772, 993441]"
14,22,"[1076954, 1104349, 13115981, 1120362, 1059347]"
15,23,"[1076306, 1075368, 1138858, 838097, 7409942]"
16,24,"[1036501, 1016800, 926905, 1008814, 9835619]"
17,25,"[898510, 15926927, 991442, 12949590, 1065593]"
18,26,"[9707137, 1081533, 1038462, 972235, 13910163]"
19,27,"[1102416, 963686, 996425, 1077409, 1058709]"
20,28,"[6533911, 861419, 6533368, 8119129, 1105120]"
21,29,"[898510, 881154, 925437, 936753, 1015296]"
22,30,"[909714, 908318, 961269, 827667, 1016276]"
23,31,"[907647, 1131133, 1062128, 968992, 7169088]"
24,32,"[908312, 1094924, 1003649, 935993, 993639]"
25,33,"[9831469, 1075032, 12810472, 920844, 1084036]"
26,34,"[844179, 879755, 1044078, 916122, 981760]"
27,35,"[6464165, 864335, 9297062, 994223, 1138292]"
28,36,"[1097991, 7410289, 7409970, 1089452, 849578]"
29,37,"[898448, 1056212, 862732, 1092026, 1097001]"
30,39,"[1127716, 9416729, 880050, 9655212, 6395907]"
31,40,"[1083043, 928092, 995852, 1112205, 928263]"
32,41,"[9419888, 1120009, 1075275, 6961848, 958657]"
33,42,"[6602697, 932462, 829621, 842249, 897953]"
34,43,"[6513810, 1065496, 8249365, 1090286, 821787]"
35,46,"[862335, 979523, 1130517, 821209, 9881593]"
36,47,"[8119318, 8119103, 904813, 6533681, 1039781]"
38,49,"[1139782, 7409644, 867016, 1125391, 1033814]"
39,52,"[10355865, 837669, 879280, 1116020, 878026]"
40,53,"[1105623, 848154, 964853, 944823, 833940]"
41,55,"[844165, 1012052, 882496, 1110743, 6391086]"
42,56,"[9655212, 9803545, 891415, 1003321, 963835]"
43,57,"[1010870, 872062, 9245108, 970160, 13213475]"
44,58,"[1054216, 1008212, 1016129, 1093966, 915493]"
45,59,"[10457128, 919180, 1086061, 1088683, 829972]"
47,63,"[872342, 1126899, 995242, 834117, 1031892]"
48,64,"[1013928, 828370, 1093413, 902659, 1038462]"
49,65,"[12330794, 12330856, 9483753, 1037965, 871722]"
50,67,"[1069039, 1139651, 998621, 1010440, 13073133]"
51,68,"[1085604, 1037894, 883404, 921614, 826249]"
52,69,"[1019497, 1044188, 845163, 5570109, 901557]"
53,70,"[1075368, 844165, 1079528, 1130375, 844179]"
54,71,"[10149656, 7433888, 926905, 973135, 1016800]"
55,72,"[991874, 938596, 8019681, 963286, 12695977]"
57,74,"[1058021, 906763, 914754, 862732, 1015974]"
58,75,"[1126899, 1058997, 995242, 862349, 908531]"
59,76,"[854754, 1058997, 992985, 7024830, 1033142]"
60,77,"[6979128, 861021, 1055425, 849578, 955921]"
61,78,"[9420312, 995055, 1039627, 8205218, 5591154]"
62,79,"[1103513, 944167, 1010164, 864741, 1087411]"
63,80,"[828331, 884145, 1038462, 1048315, 1077439]"
64,81,"[898847, 845193, 988136, 995230, 901976]"
65,82,"[1084036, 874972, 847573, 1037337, 910473]"
66,83,"[980984, 906658, 905998, 12692332, 880228]"
67,84,"[903529, 920025, 984283, 901061, 846482]"
68,85,"[864312, 839094, 983936, 849578, 951971]"
69,86,"[1135195, 820301, 865026, 5569376, 899201]"
70,87,"[1079528, 881883, 9670915, 958137, 962568]"
71,88,"[992985, 12949590, 965982, 888104, 7443013]"
74,91,"[838637, 5569098, 910151, 911088, 1000148]"
75,92,"[911409, 987838, 895268, 877447, 1093603]"
76,94,"[1055504, 981760, 1096317, 8090532, 1134398]"
77,95,"[1138858, 870929, 945652, 849018, 1088771]"
78,97,"[6463752, 1075368, 835618, 1114765, 880888]"
79,98,"[1091858, 1018278, 847241, 1095040, 9333437]"
80,99,"[916487, 824073, 883404, 992151, 6034953]"
81,101,"[1079820, 1119089, 1090931, 1036661, 858999]"
82,103,"[961846, 1089766, 1076875, 842423, 1058272]"
83,104,"[1002261, 996156, 930955, 1011300, 1101502]"
84,105,"[1135868, 1041984, 919596, 901543, 889649]"
85,106,"[910473, 1116050, 993466, 906844, 894439]"
86,108,"[15596834, 925854, 964717, 1066893, 896611]"
87,109,"[1135886, 862682, 8019954, 902659, 1106601]"
88,110,"[10204440, 845677, 1074738, 827683, 896757]"
89,111,"[932179, 9837076, 9677874, 5995626, 940655]"
90,112,"[1011300, 1058272, 1029983, 1029504, 917033]"
91,113,"[833458, 947427, 947201, 1018339, 962970]"
92,114,"[5568489, 7025203, 8249227, 1017739, 999581]"
93,115,"[12648296, 7154535, 5567428, 10456474, 6034569]"
94,116,"[976199, 1104343, 1019637, 995242, 821083]"
95,117,"[852235, 866528, 10285106, 852360, 928589]"
96,118,"[935968, 1083043, 881260, 1041984, 897409]"
97,119,"[5565664, 5581464, 920002, 1045790, 9526628]"
99,121,"[839162, 5563934, 12782181, 961730, 933822]"
100,122,"[1116635, 1086119, 6463717, 6464147, 1045109]"
101,123,"[1048750, 1110983, 1031864, 1019247, 843659]"
102,124,"[1037840, 947798, 1139960, 1131344, 955370]"
103,125,"[1057749, 1095710, 890689, 1006922, 6919433]"
104,127,"[13842214, 1025326, 901543, 865357, 926033]"
105,128,"[12263857, 9420337, 1015296, 883963, 886317]"
106,131,"[823098, 1099802, 920455, 997725, 1407216]"
107,132,"[843659, 15926507, 870428, 983078, 878715]"
108,133,"[12263857, 5590661, 13654702, 999599, 1135971]"
109,135,"[852360, 13654702, 899682, 854754, 1048750]"
110,136,"[1089766, 865511, 1038462, 946055, 896757]"
111,138,"[1009361, 1006906, 1069306, 970158, 913046]"
112,139,"[1050741, 1032512, 1134006, 1111493, 1005898]"
113,142,"[1082212, 1093966, 1013826, 997011, 957420]"
114,143,"[1020156, 878676, 12731714, 869728, 926903]"
115,144,"[1008626, 928589, 930283, 901976, 842423]"
116,145,"[6919433, 1057749, 9858794, 938863, 975588]"
117,147,"[987410, 877447, 1082172, 844759, 1094619]"
118,148,"[1003487, 6442908, 835058, 972726, 5568489]"
119,149,"[6533936, 873044, 1112333, 1093334, 841584]"
120,151,"[1028473, 917249, 956200, 1111292, 878739]"
121,152,"[1037332, 882308, 852235, 993441, 879504]"
122,153,"[1006063, 6979220, 12984227, 1091644, 951221]"
124,155,"[1079528, 827671, 843558, 6919082, 882146]"
125,156,"[861445, 849843, 1082269, 984680, 1071759]"
126,157,"[919589, 9296804, 12524174, 945652, 9420181]"
127,158,"[1025641, 977543, 997423, 12731714, 1021519]"
128,159,"[8205218, 963517, 978129, 853124, 1002418]"
129,160,"[5580525, 833598, 1079878, 6772782, 7442098]"
130,161,"[868764, 9677202, 12352054, 935527, 13115667]"
131,162,"[902856, 875396, 10456575, 1031906, 1022428]"
133,164,"[970605, 896803, 13007352, 6391289, 839605]"
134,165,"[902846, 8090556, 1028238, 1112205, 5568072]"
135,166,"[1075368, 880888, 1052294, 944486, 1079541]"
136,167,"[6391163, 9297151, 15596834, 15452641, 13417954]"
137,171,"[834103, 987724, 12385374, 907392, 1016800]"
138,172,"[891632, 1048746, 1118046, 906838, 916909]"
139,175,"[994685, 1103317, 1095944, 1044971, 921614]"
140,177,"[1033814, 1059236, 8203451, 1059527, 1093658]"
141,178,"[963686, 827656, 1085604, 972312, 1116376]"
142,180,"[883819, 1013928, 830503, 8013544, 9676852]"
143,182,"[1083787, 898466, 903191, 9835606, 888111]"
144,183,"[823862, 1042616, 1036753, 1013291, 1081853]"
145,184,"[896085, 907957, 6632986, 6534229, 1108776]"
146,185,"[870428, 1065122, 1127825, 8019977, 1092149]"
147,188,"[6704207, 1096066, 941183, 1115971, 822161]"
148,189,"[13841744, 996156, 9707498, 833598, 1135868]"
149,191,"[929341, 13842088, 971159, 9707080, 1079528]"
150,192,"[1082212, 854373, 7409790, 884756, 878676]"
151,193,"[1125199, 1104205, 854270, 6704207, 5565322]"
152,194,"[987838, 6391381, 1041259, 1053403, 9803819]"
153,195,"[1131382, 13008334, 7167836, 7166756, 5570406]"
154,196,"[6464126, 1102456, 929726, 1108488, 926905]"
155,197,"[909915, 963835, 881154, 1002591, 868588]"
156,198,"[937110, 837720, 1117121, 9677874, 932464]"
157,199,"[1082212, 1135195, 889731, 1098694, 1056775]"
158,200,"[1138189, 1031083, 1089766, 928263, 1108024]"
159,201,"[1138292, 1103476, 1066893, 972665, 1099905]"
160,203,"[13910669, 9523058, 1082990, 43020, 1023546]"
161,204,"[923670, 982955, 1131892, 938118, 1030455]"
162,205,"[819840, 923751, 1100124, 1115577, 895268]"
164,207,"[1133893, 6979049, 1088429, 895680, 933633]"
165,208,"[12352293, 1064443, 907308, 828278, 1055425]"
166,209,"[10457128, 1080472, 1130720, 824073, 1051071]"
167,210,"[910473, 1034134, 853235, 978354, 1109805]"
168,211,"[862732, 907099, 841266, 998424, 1006878]"
169,212,"[888054, 8090560, 981591, 6533362, 5568758]"
170,214,"[1010590, 13213453, 6979526, 1027372, 849100]"
171,215,"[14025461, 1112333, 6391089, 1016298, 1069047]"
172,216,"[6533936, 874832, 974204, 974156, 908217]"
173,217,"[1090286, 7441668, 1068576, 1053403, 1126045]"
174,218,"[13842088, 1097001, 5589662, 13842160, 878715]"
175,219,"[916758, 6533681, 1010578, 1137507, 1061203]"
176,220,"[918046, 852360, 10204440, 1129205, 955403]"
177,221,"[6424464, 6424460, 888004, 1116138, 910309]"
178,222,"[999779, 1071759, 856335, 1083856, 1094190]"
179,223,"[873324, 970152, 1036661, 1075765, 6904613]"
180,224,"[850925, 1056267, 837107, 1031740, 5568995]"
181,225,"[1043663, 839152, 1121656, 1119089, 943393]"
182,226,"[893851, 844166, 1102416, 891505, 820612]"
183,227,"[845193, 898601, 871722, 864658, 1011427]"
184,228,"[1139782, 917033, 874753, 1046555, 5569135]"
185,230,"[964813, 941183, 1107553, 5572828, 1053058]"
186,232,"[1049922, 1041531, 1016800, 1101449, 996750]"
187,233,"[1122568, 15926927, 1131488, 1053690, 981760]"
188,235,"[862732, 1128464, 1123434, 820011, 885710]"
189,236,"[5565840, 1010190, 1050038, 1091090, 827631]"
191,238,"[1102416, 868764, 864137, 839208, 1013407]"
192,239,"[976864, 910439, 851508, 1065496, 1108168]"
194,242,"[978343, 853643, 939681, 862732, 1000236]"
